provincia,año,total,total_dif,asalariados_0,asalariados_0_dif,asalariados_1_2,asalariados_1_2_dif,asalariados_3_5,asalariados_3_5_dif,asalariados_6_9,asalariados_6_9_dif,asalariados_10_19,asalariados_10_19_dif,asalariados_20_49,asalariados_20_49_dif,asalariados_50_99,asalariados_50_99_dif,asalariados_100_199,asalariados_100_199_dif,asalariados_200_499,asalariados_200_499_dif,asalariados_500_999,asalariados_500_999_dif,asalariados_1000_4999,asalariados_1000_4999_dif,asalariados_5000,asalariados_5000_dif
Albacete,2012,26400,-439,14103,-9,7622,10,2565,-222,1048,-115,607,-76,344,-17,67,-8,28,1,12,-3,1,0,3,0,0,0
Albacete,2011,26839,-417,14112,-109,7612,-151,2787,-40,1163,-32,683,-45,361,-35,75,1,27,-7,15,1,1,0,3,0,0,0
Albacete,2010,27256,-124,14221,191,7763,60,2827,-118,1195,-84,728,-111,396,-51,74,-5,34,-4,14,-3,1,0,3,1,0,0
Albacete,2009,27380,-267,14030,710,7703,-631,2945,-117,1279,-104,839,-46,447,-52,79,-19,38,-4,17,-4,1,0,2,0,0,0
Albacete,2008,27647,579,13320,183,8334,284,3062,52,1383,38,885,6,499,10,98,12,42,-7,21,0,1,1,2,0,0,0
Albacete,2007,27068,1537,13137,813,8050,395,3010,180,1345,87,879,28,489,23,86,3,49,5,21,4,0,-2,2,1,0,0
Albacete,2006,25531,846,12324,210,7655,364,2830,176,1258,49,851,8,466,33,83,1,44,2,17,3,2,0,1,0,0,0
Albacete,2005,24685,1135,12114,709,7291,317,2654,35,1209,-29,843,62,433,23,82,14,42,5,14,-1,2,0,1,0,0,0
Albacete,2004,23550,1003,11405,259,6974,383,2619,233,1238,90,781,21,410,13,68,-5,37,10,15,-3,2,2,1,0,0,0
Albacete,2003,22547,672,11146,30,6591,444,2386,130,1148,40,760,57,397,-32,73,-1,27,0,18,3,0,0,1,1,0,0
Albacete,2002,21875,424,11116,-70,6147,261,2256,51,1108,112,703,31,429,30,74,9,27,0,15,0,0,0,0,0,0,0
Albacete,2001,21451,210,11186,-452,5886,311,2205,189,996,161,672,-11,399,4,65,2,27,4,15,2,0,0,0,0,0,0
Albacete,2000,21241,405,11638,46,5575,101,2016,115,835,18,683,65,395,52,63,8,23,-3,13,4,0,-1,0,0,0,0
Albacete,1999,20836,NULL,11592,NULL,5474,NULL,1901,NULL,817,NULL,618,NULL,343,NULL,55,NULL,26,NULL,9,NULL,1,NULL,0,NULL,0,NULL
Alicante,2012,129728,-1836,72406,-353,35811,255,11487,-1218,5015,-205,2911,-170,1531,-121,358,-22,135,-1,51,-4,14,2,7,0,2,1
Alicante,2011,131564,-1250,72759,2291,35556,-2629,12705,-227,5220,-293,3081,-214,1652,-134,380,-24,136,-17,55,-7,12,3,7,1,1,0
Alicante,2010,132814,-3425,70468,1518,38185,-1895,12932,-1279,5513,-635,3295,-672,1786,-390,404,-38,153,-30,62,-1,9,0,6,-2,1,-1
Alicante,2009,136239,-6068,68950,-654,40080,-2408,14211,-1065,6148,-796,3967,-667,2176,-354,442,-77,183,-22,63,-25,9,0,8,0,2,0
Alicante,2008,142307,2162,69604,1452,42488,778,15276,-55,6944,83,4634,-82,2530,-59,519,8,205,17,88,18,9,3,8,-1,2,0
Alicante,2007,140145,7129,68152,3922,41710,2636,15331,540,6861,-32,4716,5,2589,52,511,-22,188,25,70,1,6,-2,9,3,2,1
Alicante,2006,133016,9683,64230,5520,39074,2223,14791,911,6893,528,4711,310,2537,127,533,44,163,15,69,7,8,-6,6,4,1,0
Alicante,2005,123333,9481,58710,6898,36851,1774,13880,443,6365,145,4401,43,2410,110,489,66,148,2,62,-2,14,2,2,0,1,0
Alicante,2004,113852,2047,51812,-1545,35077,2285,13437,764,6220,329,4358,176,2300,49,423,-29,146,4,64,11,12,3,2,0,1,0
Alicante,2003,111805,4511,53357,1016,32792,2081,12673,845,5891,242,4182,235,2251,78,452,-11,142,28,53,-4,9,1,2,0,1,0
Alicante,2002,107294,3879,52341,953,30711,1734,11828,555,5649,296,3947,227,2173,53,463,43,114,10,57,9,8,-2,2,1,1,0
Alicante,2001,103415,4570,51388,1359,28977,1569,11273,851,5353,697,3720,48,2120,11,420,17,104,13,48,5,10,-1,1,1,1,0
Alicante,2000,98845,5201,50029,2407,27408,1124,10422,755,4656,435,3672,247,2109,180,403,40,91,4,43,5,11,4,0,-1,1,1
Alicante,1999,93644,NULL,47622,NULL,26284,NULL,9667,NULL,4221,NULL,3425,NULL,1929,NULL,363,NULL,87,NULL,38,NULL,7,NULL,1,NULL,0,NULL
Almería,2012,41021,-560,21813,160,12171,22,3981,-463,1610,-81,798,-125,440,-51,100,-11,61,-9,30,-4,12,1,5,1,0,0
Almería,2011,41581,-965,21653,415,12149,-869,4444,-214,1691,-170,923,-48,491,-54,111,-7,70,-16,34,1,11,-2,4,-1,0,0
Almería,2010,42546,-955,21238,136,13018,-319,4658,-315,1861,-131,971,-200,545,-100,118,-20,86,-8,33,0,13,0,5,2,0,0
Almería,2009,43501,-1629,21102,137,13337,-692,4973,-392,1992,-262,1171,-260,645,-106,138,-35,94,-1,33,-15,13,-2,3,-1,0,0
Almería,2008,45130,1160,20965,213,14029,761,5365,90,2254,85,1431,34,751,-36,173,19,95,-3,48,-1,15,-2,4,0,0,0
Almería,2007,43970,3099,20752,1416,13268,1148,5275,312,2169,75,1397,83,787,51,154,-12,98,22,49,-2,17,6,4,0,0,0
Almería,2006,40871,2105,19336,407,12120,665,4963,610,2094,201,1314,157,736,52,166,5,76,-5,51,12,11,0,4,1,0,0
Almería,2005,38766,2506,18929,1557,11455,402,4353,254,1893,141,1157,23,684,93,161,12,81,24,39,-1,11,-1,3,2,0,0
Almería,2004,36260,2313,17372,535,11053,1143,4099,281,1752,219,1134,67,591,62,149,3,57,4,40,-4,12,4,1,-1,0,0
Almería,2003,33947,1848,16837,627,9910,615,3818,398,1533,51,1067,96,529,30,146,20,53,1,44,10,8,1,2,-1,0,0
Almería,2002,32099,1559,16210,495,9295,535,3420,332,1482,69,971,82,499,28,126,15,52,-4,34,5,7,1,3,1,0,0
Almería,2001,30540,627,15715,-491,8760,636,3088,201,1413,263,889,5,471,-9,111,9,56,13,29,-2,6,1,2,1,0,0
Almería,2000,29913,1188,16206,510,8124,322,2887,139,1150,49,884,82,480,64,102,13,43,3,31,5,5,1,1,0,0,0
Almería,1999,28725,NULL,15696,NULL,7802,NULL,2748,NULL,1101,NULL,802,NULL,416,NULL,89,NULL,40,NULL,26,NULL,4,NULL,1,NULL,0,NULL
Álava,2012,20644,-548,9362,-508,6325,-4,2251,-52,1129,-3,791,-21,535,32,132,1,79,9,23,-5,11,1,5,2,1,0
Álava,2011,21192,-483,9870,-168,6329,-201,2303,-51,1132,-35,812,7,503,-39,131,0,70,9,28,-6,10,0,3,1,1,0
Álava,2010,21675,-313,10038,100,6530,-184,2354,-84,1167,27,805,-106,542,-41,131,-8,61,-18,34,0,10,1,2,-1,1,1
Álava,2009,21988,-330,9938,-4,6714,-230,2438,2,1140,-43,911,-31,583,-17,139,-10,79,5,34,-2,9,2,3,-2,0,0
Álava,2008,22318,1642,9942,1038,6944,400,2436,86,1183,33,942,58,600,28,149,-3,74,5,36,-1,7,-2,5,0,0,0
Álava,2007,20676,327,8904,224,6544,26,2350,6,1150,45,884,-21,572,57,152,-6,69,-7,37,1,9,-1,5,3,0,0
Álava,2006,20349,511,8680,423,6518,-67,2344,89,1105,33,905,30,515,-7,158,6,76,5,36,0,10,0,2,-1,0,0
Álava,2005,19838,59,8257,-250,6585,249,2255,28,1072,-69,875,68,522,22,152,10,71,-2,36,4,10,-1,3,0,0,0
Álava,2004,19779,141,8507,-327,6336,298,2227,104,1141,7,807,21,500,31,142,7,73,0,32,0,11,1,3,-1,0,0
Álava,2003,19638,328,8834,-271,6038,387,2123,84,1134,53,786,44,469,7,135,9,73,10,32,4,10,1,4,0,0,0
Álava,2002,19310,299,9105,613,5651,-539,2039,67,1081,121,742,2,462,36,126,-3,63,6,28,-2,9,-2,4,0,0,0
Álava,2001,19011,-35,8492,-451,6190,285,1972,78,960,80,740,17,426,-51,129,2,57,2,30,1,11,3,4,-1,0,0
Álava,2000,19046,662,8943,34,5905,310,1894,130,880,33,723,76,477,54,127,18,55,8,29,-4,8,1,5,2,0,0
Álava,1999,18384,NULL,8909,NULL,5595,NULL,1764,NULL,847,NULL,647,NULL,423,NULL,109,NULL,47,NULL,33,NULL,7,NULL,3,NULL,0,NULL
Asturias,2012,68967,-910,37110,-306,19996,317,6307,-574,2684,-138,1625,-112,821,-81,241,-8,105,-5,56,-2,12,0,8,-1,2,0
Asturias,2011,69877,-485,37416,223,19679,-408,6881,-82,2822,-180,1737,17,902,-34,249,-5,110,-15,58,6,12,-7,9,-1,2,1
Asturias,2010,70362,-1491,37193,-51,20087,-794,6963,-225,3002,-57,1720,-252,936,-85,254,-18,125,-9,52,-1,19,3,10,-2,1,0
