provincia,año,total,asalariados_0,asalariados_1_2,asalariados_3_5,asalariados_6_9,asalariados_10_19,asalariados_20_49,asalariados_50_99,asalariados_100_199,asalariados_200_499,asalariados_500_999,asalariados_1000_4999,asalariados_5000
Albacete,2012,26400,14103,7622,2565,1048,607,344,67,28,12,1,3,0
Albacete,2011,26839,14112,7612,2787,1163,683,361,75,27,15,1,3,0
Albacete,2010,27256,14221,7763,2827,1195,728,396,74,34,14,1,3,0
Albacete,2009,27380,14030,7703,2945,1279,839,447,79,38,17,1,2,0
Albacete,2008,27647,13320,8334,3062,1383,885,499,98,42,21,1,2,0
Albacete,2007,27068,13137,8050,3010,1345,879,489,86,49,21,0,2,0
Albacete,2006,25531,12324,7655,2830,1258,851,466,83,44,17,2,1,0
Albacete,2005,24685,12114,7291,2654,1209,843,433,82,42,14,2,1,0
Albacete,2004,23550,11405,6974,2619,1238,781,410,68,37,15,2,1,0
Albacete,2003,22547,11146,6591,2386,1148,760,397,73,27,18,0,1,0
Albacete,2002,21875,11116,6147,2256,1108,703,429,74,27,15,0,0,0
Albacete,2001,21451,11186,5886,2205,996,672,399,65,27,15,0,0,0
Albacete,2000,21241,11638,5575,2016,835,683,395,63,23,13,0,0,0
Albacete,1999,20836,11592,5474,1901,817,618,343,55,26,9,1,0,0
Alicante,2012,129728,72406,35811,11487,5015,2911,1531,358,135,51,14,7,2
Alicante,2011,131564,72759,35556,12705,5220,3081,1652,380,136,55,12,7,1
Alicante,2010,132814,70468,38185,12932,5513,3295,1786,404,153,62,9,6,1
Alicante,2009,136239,68950,40080,14211,6148,3967,2176,442,183,63,9,8,2
Alicante,2008,142307,69604,42488,15276,6944,4634,2530,519,205,88,9,8,2
Alicante,2007,140145,68152,41710,15331,6861,4716,2589,511,188,70,6,9,2
Alicante,2006,133016,64230,39074,14791,6893,4711,2537,533,163,69,8,6,1
Alicante,2005,123333,58710,36851,13880,6365,4401,2410,489,148,62,14,2,1
Alicante,2004,113852,51812,35077,13437,6220,4358,2300,423,146,64,12,2,1
Alicante,2003,111805,53357,32792,12673,5891,4182,2251,452,142,53,9,2,1
Alicante,2002,107294,52341,30711,11828,5649,3947,2173,463,114,57,8,2,1
Alicante,2001,103415,51388,28977,11273,5353,3720,2120,420,104,48,10,1,1
Alicante,2000,98845,50029,27408,10422,4656,3672,2109,403,91,43,11,0,1
Alicante,1999,93644,47622,26284,9667,4221,3425,1929,363,87,38,7,1,0
Almería,2012,41021,21813,12171,3981,1610,798,440,100,61,30,12,5,0
Almería,2011,41581,21653,12149,4444,1691,923,491,111,70,34,11,4,0
Almería,2010,42546,21238,13018,4658,1861,971,545,118,86,33,13,5,0
Almería,2009,43501,21102,13337,4973,1992,1171,645,138,94,33,13,3,0
Almería,2008,45130,20965,14029,5365,2254,1431,751,173,95,48,15,4,0
Almería,2007,43970,20752,13268,5275,2169,1397,787,154,98,49,17,4,0
Almería,2006,40871,19336,12120,4963,2094,1314,736,166,76,51,11,4,0
Almería,2005,38766,18929,11455,4353,1893,1157,684,161,81,39,11,3,0
Almería,2004,36260,17372,11053,4099,1752,1134,591,149,57,40,12,1,0
Almería,2003,33947,16837,9910,3818,1533,1067,529,146,53,44,8,2,0
Almería,2002,32099,16210,9295,3420,1482,971,499,126,52,34,7,3,0
Almería,2001,30540,15715,8760,3088,1413,889,471,111,56,29,6,2,0
Almería,2000,29913,16206,8124,2887,1150,884,480,102,43,31,5,1,0
Almería,1999,28725,15696,7802,2748,1101,802,416,89,40,26,4,1,0
Álava,2012,20644,9362,6325,2251,1129,791,535,132,79,23,11,5,1
Álava,2011,21192,9870,6329,2303,1132,812,503,131,70,28,10,3,1
Álava,2010,21675,10038,6530,2354,1167,805,542,131,61,34,10,2,1
Álava,2009,21988,9938,6714,2438,1140,911,583,139,79,34,9,3,0
Álava,2008,22318,9942,6944,2436,1183,942,600,149,74,36,7,5,0
Álava,2007,20676,8904,6544,2350,1150,884,572,152,69,37,9,5,0
Álava,2006,20349,8680,6518,2344,1105,905,515,158,76,36,10,2,0
Álava,2005,19838,8257,6585,2255,1072,875,522,152,71,36,10,3,0
Álava,2004,19779,8507,6336,2227,1141,807,500,142,73,32,11,3,0
Álava,2003,19638,8834,6038,2123,1134,786,469,135,73,32,10,4,0
Álava,2002,19310,9105,5651,2039,1081,742,462,126,63,28,9,4,0
Álava,2001,19011,8492,6190,1972,960,740,426,129,57,30,11,4,0
Álava,2000,19046,8943,5905,1894,880,723,477,127,55,29,8,5,0
Álava,1999,18384,8909,5595,1764,847,647,423,109,47,33,7,3,0
Asturias,2012,68967,37110,19996,6307,2684,1625,821,241,105,56,12,8,2
Asturias,2011,69877,37416,19679,6881,2822,1737,902,249,110,58,12,9,2
Asturias,2010,70362,37193,20087,6963,3002,1720,936,254,125,52,19,10,1
Asturias,2009,71853,37244,20881,7188,3059,1972,1021,272,134,53,16,12,1
Asturias,2008,73124,37534,21456,7324,3132,2064,1101,271,139,71,14,17,1
Asturias,2007,72276,37377,21074,7161,3081,2001,1082,267,130,68,19,15,1
Asturias,2006,70115,36420,20203,7043,3026,1939,1019,253,121,59,20,11,1
Asturias,2005,68175,35338,19765,6771,2992,1818,1041,248,113,60,17,11,1
Asturias,2004,67039,34632,19491,6648,2980,1853,1006,231,109,58,20,10,1
Asturias,2003,65062,33960,18630,6441,2869,1768,983,216,116,55,15,7,2
Asturias,2002,63209,33510,17648,6136,2757,1803,919,255,100,55,16,7,3
Asturias,2001,65301,36299,17369,5928,2668,1740,900,230,92,57,10,6,2
Asturias,2000,63133,35770,16384,5612,2348,1693,932,231,90,56,10,4,3
Asturias,1999,46612,23318,13639,4860,2049,1555,833,208,76,56,10,5,3
Ávila,2012,10735,5713,3278,1079,365,194,84,11,7,2,1,1,0
Ávila,2011,10740,5788,3090,1138,393,221,85,10,11,2,1,1,0
Ávila,2010,11414,5892,3352,1297,477,261,106,15,7,2,2,3,0
Ávila,2009,11455,5919,3405,1267,467,253,113,17,10,2,1,1,0
Ávila,2008,11708,5958,3534,1269,495,299,121,19,9,2,1,1,0
Ávila,2007,11434,5865,3479,1209,447,289,114,17,10,2,1,1,0
Ávila,2006,10900,5647,3278,1119,449,268,109,21,5,2,1,1,0
Ávila,2005,10611,5661,3096,1058,405,266,99,17,4,2,2,1,0
Ávila,2004,10319,5498,3028,1052,379,237,96,20,3,2,3,1,0
Ávila,2003,10211,5598,2897,1000,378,226,84,17,4,3,3,1,0
Ávila,2002,9855,5498,2741,937,352,216,89,13,6,1,2,0,0
Ávila,2001,9842,5601,2680,912,339,210,81,11,5,1,2,0,0
